Imagem,Tipo,Gaussiano,PCC1,PCC2,limiar
1,10,,0.6854166388511658,0.5213946117274167,0.125
2,10,,0.7677083611488342,0.6229923922231615,0.125
3,10,,0.7489583492279053,0.5986677768526228,0.125
4,10,,0.796875,0.6623376623376623,0.125
5,10,,0.7437499761581421,0.6257408975444538,0.125
1,15,,0.6666666865348816,0.5,0.125
2,15,,0.731249988079071,0.5763546798029556,0.125
3,15,,0.762499988079071,0.6161616161616161,0.125
4,15,,0.6947916746139526,0.566068515497553,0.125
5,15,,0.6677083373069763,0.5559157212317666,0.125
1,20,,0.6739583611488342,0.5094339622641509,0.125
2,20,,0.684374988079071,0.5213946117274167,0.125
3,20,,0.7802083492279053,0.6509028374892519,0.125
4,20,,0.6854166388511658,0.5750615258408531,0.125
5,20,,0.6979166865348816,0.5686274509803921,0.125
1,Borda,,0.7260416746139526,0.5750615258408531,0.125
2,Borda,,0.6916666626930237,0.5446500402252614,0.125
3,Borda,,0.7458333373069763,0.6509028374892519,0.125
4,Borda,,0.7458333373069763,0.6120906801007556,0.125
5,Borda,,0.7541666626930237,0.6053511705685619,0.125
1,Centro,,0.800000011920929,0.6710182767624021,0.125
2,Centro,,0.7708333134651184,0.7454545454545455,0.125
3,Centro,,0.7250000238418579,0.5815485996705108,0.125
4,Centro,,0.7010416388511658,0.5920398009950248,0.125
5,Centro,,0.6666666865348816,0.5508885298869144,0.125
1,EntreQuadros,,0.7916666865348816,0.6551724137931034,0.125
2,EntreQuadros,,0.6812499761581421,0.628498727735369,0.125
3,EntreQuadros,,0.7749999761581421,0.6396242527754057,0.125
4,EntreQuadros,,0.784375011920929,0.7006200177147919,0.125
5,EntreQuadros,,0.90625,0.92,0.125
1,,10,0.7135416865348816,0.5533980582524272,0.125
2,,10,0.7260416746139526,0.5699100572363042,0.125
3,,10,0.6802083253860474,0.6797900262467191,0.125
4,,10,0.7333333492279053,0.6724738675958188,0.125
5,,10,0.6666666865348816,0.5434083601286174,0.125
6,,10,0.7791666388511658,0.6931216931216931,0.125
1,,20,0.7114583253860474,0.5521422797089733,0.125
2,,20,0.737500011920929,0.5789473684210527,0.125
3,,20,0.7124999761581421,0.5973377703826955,0.125
4,,20,0.7208333611488342,0.696113074204947,0.125
5,,20,0.671875,0.5483870967741935,0.125
6,,20,0.778124988079071,0.7021276595744681,0.125
1,,30,0.7427083253860474,0.5920398009950248,0.125
2,,30,0.690625011920929,0.5763546798029556,0.125
3,,30,0.7552083134651184,0.6856892010535558,0.125
4,,30,0.706250011920929,0.5458937198067633,0.125
5,,30,0.6666666865348816,0.5177865612648221,0.125
6,,30,0.7645833492279053,0.7112299465240641,0.125
1,,40,0.7281249761581421,0.5724815724815725,0.125
2,,40,0.6989583373069763,0.5213946117274167,0.125
3,,40,0.7510416507720947,0.6382252559726962,0.125
4,,40,0.6666666865348816,0.536,0.125
5,,40,0.675000011920929,0.5335463258785943,0.125
6,,40,0.746874988079071,0.6537467700258398,0.125
1,,50,0.7281249761581421,0.5711947626841244,0.125
2,,50,0.6666666865348816,0.5,0.125
3,,50,0.7385416626930237,0.5907207953603977,0.125
4,,50,0.690625011920929,0.5508885298869144,0.125
5,,50,0.6666666865348816,0.5238095238095238,0.125
6,,50,0.7208333611488342,0.6368286445012787,0.125
1,10,,0.8364583253860474,0.7188898836168308,0.25
2,10,,0.8458333611488342,0.7328519855595668,0.25
3,10,,0.8333333134651184,0.7142857142857143,0.25
4,10,,0.8416666388511658,0.7266187050359713,0.25
5,10,,0.8927083611488342,0.80620884289746,0.25
1,15,,0.828125,0.7066666666666667,0.25
2,15,,0.8218749761581421,0.6976127320954907,0.25
3,15,,0.8374999761581421,0.7204301075268817,0.25
4,15,,0.8354166746139526,0.7173524150268337,0.25
5,15,,0.8333333134651184,0.7142857142857143,0.25
1,20,,0.828125,0.709706144256456,0.25
2,20,,0.8083333373069763,0.6783216783216783,0.25
3,20,,0.8229166865348816,0.6991150442477876,0.25
